Materials,adsorption_energy
Ag_1@IrO2(100)_1#O,3.9262
Ag_1@IrO2(100)_1#OH,1.0794
Ag_1@IrO2(100)_1#OOH,3.7586
Ag_1@IrO2(100)_2#O,2.1174
Ag_1@IrO2(100)_2#OH,0.3954
Ag_1@IrO2(100)_2#OOH,3.4926
Ag_1@IrO2(101)_1#OH,1.9967
Ag_1@IrO2(101)_1#OOH,4.6164
Ag_1@IrO2(110)_1#O,4.6807
Ag_1@IrO2(110)_1#OH,1.8722
Ag_1@IrO2(110)_1#OOH,4.5827
Ag_1@IrO2(110)_2#O,1.668
Ag_1@IrO2(110)_2#OH,-0.0216
Ag_1@IrO2(110)_2#OOH,2.9645
Ag_1@IrO2(111)_1#O,5.0797
Ag_1@IrO2(111)_1#OH,2.1407
Ag_1@IrO2(111)_1#OOH,4.3752
Ag_1@RuO2(100)_1#O,4.6041
Ag_1@RuO2(100)_1#OH,1.7242
Ag_1@RuO2(100)_1#OOH,4.2507
Ag_1@RuO2(100)_2#O,2.6162
Ag_1@RuO2(101)_1#OH,2.1313
Ag_1@RuO2(101)_1#OOH,4.5531
Ag_1@RuO2(110)_1#O,4.625
Ag_1@RuO2(110)_1#OH,1.7697
Ag_1@RuO2(110)_1#OOH,4.588
Ag_1@RuO2(110)_2#O,1.8927
Ag_1@RuO2(110)_2#OH,0.5569
Ag_1@RuO2(110)_2#OOH,3.4751
Ag_1@RuO2(111)_1#O,4.2028
Ag_1@RuO2(111)_1#OH,1.2521
Ag_1@RuO2(111)_1#OOH,4.1211
Ag_2@IrO2(110)_1#O,1.4094
Ag_2@IrO2(110)_1#OH,-0.3253
Ag_2@IrO2(110)_1#OOH,2.7835
Ag_2@IrO2(111)_1#O,2.1605
Ag_2@IrO2(111)_1#OH,0.9503
Ag_2@IrO2(111)_1#OOH,3.913
Ag_2@RuO2(110)_1#O,1.6677
Ag_2@RuO2(110)_1#OH,0.4768
Ag_2@RuO2(110)_1#OOH,3.5194
Ag_2@RuO2(111)_1#O,1.3421
Ag_2@RuO2(111)_1#OH,0.8758
Co_1@IrO2(001)_1#O,3.243
Co_1@IrO2(001)_1#OH,1.2535
Co_1@IrO2(001)_1#OOH,3.9467
Co_1@IrO2(100)_1#O,2.5616
Co_1@IrO2(100)_1#OH,1.0342
Co_1@IrO2(100)_1#OOH,3.7172
