Materials adsorption_energy
Ag_1@IrO2(100)_1#O 3.93 
Ag_1@IrO2(100)_1#OH 1.08 
Ag_1@IrO2(100)_1#OOH 3.76 
Ag_1@IrO2(100)_2#O 2.12 
Ag_1@IrO2(100)_2#OH 0.40 
Ag_1@IrO2(100)_2#OOH 3.49 
Ag_1@IrO2(101)_1#OH 2.00 
Ag_1@IrO2(101)_1#OOH 4.62 
Ag_1@IrO2(110)_1#O 4.68 
Ag_1@IrO2(110)_1#OH 1.87 
Ag_1@IrO2(110)_1#OOH 4.58 
Ag_1@IrO2(110)_2#O 1.67 
Ag_1@IrO2(110)_2#OH -0.02 
Ag_1@IrO2(110)_2#OOH 2.96 
Ag_1@IrO2(111)_1#O 5.08 
Ag_1@IrO2(111)_1#OH 2.14 
Ag_1@IrO2(111)_1#OOH 4.38 
Ag_1@RuO2(100)_1#O 4.60 
Ag_1@RuO2(100)_1#OH 1.72 
Ag_1@RuO2(100)_1#OOH 4.25 
Ag_1@RuO2(100)_2#O 2.62 
Ag_1@RuO2(101)_1#OH 2.13 
Ag_1@RuO2(101)_1#OOH 4.55 
Ag_1@RuO2(110)_1#O 4.63 
Ag_1@RuO2(110)_1#OH 1.77 
Ag_1@RuO2(110)_1#OOH 4.59 
Ag_1@RuO2(110)_2#O 1.89 
Ag_1@RuO2(110)_2#OH 0.56 
Ag_1@RuO2(110)_2#OOH 3.48 
Ag_1@RuO2(111)_1#O 4.20 
Ag_1@RuO2(111)_1#OH 1.25 
Ag_1@RuO2(111)_1#OOH 4.12 
Ag_2@IrO2(110)_1#O 1.41 
Ag_2@IrO2(110)_1#OH -0.33 
Ag_2@IrO2(110)_1#OOH 2.78 
Ag_2@IrO2(111)_1#O 2.16 
Ag_2@IrO2(111)_1#OH 0.95 
Ag_2@IrO2(111)_1#OOH 3.91 
Ag_2@RuO2(110)_1#O 1.67 
Ag_2@RuO2(110)_1#OH 0.48 
Ag_2@RuO2(110)_1#OOH 3.52 
Ag_2@RuO2(111)_1#O 1.34 
Ag_2@RuO2(111)_1#OH 0.88 
Co_1@IrO2(001)_1#O 3.24 
Co_1@IrO2(001)_1#OH 1.25 
Co_1@IrO2(001)_1#OOH 3.95 
Co_1@IrO2(100)_1#O 2.56 
Co_1@IrO2(100)_1#OH 1.03 
Co_1@IrO2(100)_1#OOH 3.72 
Co_1@IrO2(100)_2#O 1.79 
Co_1@IrO2(100)_2#OH 0.27 
Co_1@IrO2(100)_2#OOH 3.26 
Co_1@IrO2(101)_1#O 2.89 
Co_1@IrO2(101)_1#OH 1.15 
Co_1@IrO2(101)_2#O 2.14 
Co_1@IrO2(101)_2#OH 0.38 
Co_1@IrO2(101)_2#OOH 3.16 
Co_1@IrO2(110)_1#O 2.48 
Co_1@IrO2(110)_1#OH 0.96 
Co_1@IrO2(110)_1#OOH 3.80 
Co_1@IrO2(110)_2#O 1.50 
Co_1@IrO2(110)_2#OH -0.09 
Co_1@IrO2(110)_2#OOH 2.86 
Co_1@IrO2(111)_1#O 2.88 
Co_1@IrO2(111)_1#OH 1.11 
Co_1@IrO2(111)_1#OOH 3.63 
Co_1@RuO2(001)_1#O 3.36 
Co_1@RuO2(001)_1#OH 1.31 
Co_1@RuO2(001)_1#OOH 4.03 
Co_1@RuO2(100)_1#O 2.49 
Co_1@RuO2(100)_1#OH 0.88 
Co_1@RuO2(100)_1#OOH 3.72 
Co_1@RuO2(100)_2#O 1.80 
Co_1@RuO2(100)_2#OH 0.60 
Co_1@RuO2(100)_2#OOH 3.46 
Co_1@RuO2(101)_1#O 2.80 
Co_1@RuO2(101)_1#OH 1.11 
Co_1@RuO2(101)_1#OOH 4.25 
Co_1@RuO2(101)_2#O 1.88 
Co_1@RuO2(101)_2#OH 0.65 
Co_1@RuO2(101)_2#OOH 3.48 
Co_1@RuO2(110)_1#O 2.40 
Co_1@RuO2(110)_1#OH 0.86 
Co_1@RuO2(110)_1#OOH 3.75 
Co_1@RuO2(110)_2#O 1.62 
Co_1@RuO2(110)_2#OH 0.47 
Co_1@RuO2(110)_2#OOH 3.39 
Co_1@RuO2(111)_1#O 2.90 
Co_1@RuO2(111)_1#OH 1.20 
Co_1@RuO2(111)_1#OOH 3.77 
Co_2@IrO2(001)_1#O 2.20 
Co_2@IrO2(001)_1#OH 0.62 
Co_2@IrO2(001)_1#OOH 3.58 
Co_2@IrO2(110)_1#O 1.45 
Co_2@IrO2(110)_1#OH -0.18 
Co_2@IrO2(110)_1#OOH 2.77 
Co_2@IrO2(111)_1#O 1.84 
Co_2@IrO2(111)_1#OH 0.31 
Co_2@IrO2(111)_1#OOH 3.46 
Co_2@RuO2(001)_1#OH 0.66 
Co_2@RuO2(001)_1#OOH 3.62 
Co_2@RuO2(110)_1#O 1.67 
Co_2@RuO2(110)_1#OH 0.47 
Co_2@RuO2(110)_1#OOH 3.48 
Co_2@RuO2(111)_1#O 1.96 
Co_2@RuO2(111)_1#OH 0.80 
Co_2@RuO2(111)_1#OOH 3.78 
Cu_1@IrO2(100)_1#O 3.80 
Cu_1@IrO2(100)_1#OH 1.01 
Cu_1@IrO2(100)_1#OOH 3.77 
Cu_1@IrO2(100)_2#O 1.76 
Cu_1@IrO2(100)_2#OH -0.45 
Cu_1@IrO2(100)_2#OOH 3.20 
Cu_1@IrO2(101)_1#OH 1.62 
Cu_1@IrO2(101)_1#OOH 4.48 
Cu_1@IrO2(110)_1#O 3.95 
Cu_1@IrO2(110)_1#OH 1.28 
Cu_1@IrO2(110)_1#OOH 4.29 
Cu_1@IrO2(110)_2#O 1.57 
Cu_1@IrO2(110)_2#OH -0.04 
Cu_1@IrO2(110)_2#OOH 2.93 
Cu_1@IrO2(111)_1#O 4.78 
Cu_1@IrO2(111)_1#OH 1.90 
